"desc_cnt"|"flat_cnt"|"grp_name"|"grp_url"|"incr_cnt"|"stck_cnt"|"vart_rate"
1|0|"재난/안전(지진등)"|"/sise/sise_group_detail.naver?type=theme&no=335"|22|23|"3.58%"
6|3|"LCD부품/소재"|"/sise/sise_group_detail.naver?type=theme&no=3"|38|47|"3.56%"
0|0|"종합상사"|"/sise/sise_group_detail.naver?type=theme&no=325"|7|7|"3.55%"
1|0|"리비안(RIVIAN)관련주"|"/sise/sise_group_detail.naver?type=theme&no=501"|22|23|"3.53%"
2|3|"바이오인식(생체인식)"|"/sise/sise_group_detail.naver?type=theme&no=106"|17|22|"3.52%"
3|4|"전기차"|"/sise/sise_group_detail.naver?type=theme&no=227"|79|86|"3.5%"
0|2|"SI(시스템통합)"|"/sise/sise_group_detail.naver?type=theme&no=17"|30|32|"3.49%"
1|0|"농업"|"/sise/sise_group_detail.naver?type=theme&no=206"|22|23|"3.48%"
3|0|"폴더블폰"|"/sise/sise_group_detail.naver?type=theme&no=404"|22|25|"3.44%"
0|0|"마이크로LED"|"/sise/sise_group_detail.naver?type=theme&no=390"|10|10|"3.42%"
0|2|"희귀금속(희토류등)"|"/sise/sise_group_detail.naver?type=theme&no=298"|12|14|"3.42%"
4|4|"스마트폰"|"/sise/sise_group_detail.naver?type=theme&no=279"|70|78|"3.41%"
0|0|"갤럭시부품주"|"/sise/sise_group_detail.naver?type=theme&no=393"|41|41|"3.4%"
7|4|"수소차(연료전지/부품/충전소등)"|"/sise/sise_group_detail.naver?type=theme&no=386"|68|79|"3.38%"
1|0|"탄소나노튜브(CNT)"|"/sise/sise_group_detail.naver?type=theme&no=242"|5|6|"3.38%"
2|0|"메르스코로나바이러스"|"/sise/sise_group_detail.naver?type=theme&no=346"|22|24|"3.35%"
0|2|"보안주(물리)"|"/sise/sise_group_detail.naver?type=theme&no=234"|16|18|"3.34%"
3|1|"지주사"|"/sise/sise_group_detail.naver?type=theme&no=111"|123|127|"3.34%"
1|0|"남-북-러가스관사업"|"/sise/sise_group_detail.naver?type=theme&no=313"|14|15|"3.34%"
2|3|"카메라모듈/부품"|"/sise/sise_group_detail.naver?type=theme&no=41"|27|32|"3.34%"
3|0|"자전거"|"/sise/sise_group_detail.naver?type=theme&no=210"|3|6|"3.34%"
2|2|"터치패널(스마트폰/태블릿PC등)"|"/sise/sise_group_detail.naver?type=theme&no=209"|7|11|"3.3%"
0|1|"3D프린터"|"/sise/sise_group_detail.naver?type=theme&no=326"|14|15|"3.3%"
4|8|"OLED(유기발광다이오드)"|"/sise/sise_group_detail.naver?type=theme&no=9"|70|82|"3.28%"
5|6|"2차전지"|"/sise/sise_group_detail.naver?type=theme&no=64"|98|109|"3.28%"
0|0|"출산장려정책"|"/sise/sise_group_detail.naver?type=theme&no=139"|18|18|"3.28%"
3|1|"전력저장장치(ESS)"|"/sise/sise_group_detail.naver?type=theme&no=329"|29|33|"3.26%"
11|6|"2021하반기신규상장"|"/sise/sise_group_detail.naver?type=theme&no=499"|50|67|"3.25%"
0|1|"손해보험"|"/sise/sise_group_detail.naver?type=theme&no=164"|8|9|"3.25%"
0|0|"요소수관련주"|"/sise/sise_group_detail.naver?type=theme&no=504"|5|5|"3.24%"
5|6|"2020하반기신규상장"|"/sise/sise_group_detail.naver?type=theme&no=440"|64|75|"3.23%"
2|0|"셰일가스(ShaleGas)"|"/sise/sise_group_detail.naver?type=theme&no=323"|11|13|"3.18%"
1|3|"스마트팩토리(스마트공장)"|"/sise/sise_group_detail.naver?type=theme&no=392"|31|35|"3.17%"
0|0|"전기차(충전소/충전기)"|"/sise/sise_group_detail.naver?type=theme&no=514"|19|19|"3.15%"
0|0|"SSD"|"/sise/sise_group_detail.naver?type=theme&no=216"|8|8|"3.12%"
1|1|"여름"|"/sise/sise_group_detail.naver?type=theme&no=76"|28|30|"3.12%"
1|0|"엔젤산업"|"/sise/sise_group_detail.naver?type=theme&no=316"|23|24|"3.12%"
0|1|"미디어(방송/신문)"|"/sise/sise_group_detail.naver?type=theme&no=232"|14|15|"3.1%"
2|8|"자율주행차"|"/sise/sise_group_detail.naver?type=theme&no=362"|45|55|"3.09%"
3|0|"아프리카돼지열병(ASF)"|"/sise/sise_group_detail.naver?type=theme&no=417"|30|33|"3.06%"
3|1|"휴대폰부품"|"/sise/sise_group_detail.naver?type=theme&no=40"|49|53|"3.05%"
1|0|"공기청정기"|"/sise/sise_group_detail.naver?type=theme&no=112"|11|12|"3.04%"
0|1|"日제품불매운동(수혜)"|"/sise/sise_group_detail.naver?type=theme&no=421"|21|22|"3.03%"
1|1|"원자력발전소해체"|"/sise/sise_group_detail.naver?type=theme&no=401"|13|15|"3.02%"
0|0|"북한광물자원개발"|"/sise/sise_group_detail.naver?type=theme&no=399"|20|20|"3.01%"
0|0|"스포츠행사수혜(올림픽,월드컵등)"|"/sise/sise_group_detail.naver?type=theme&no=290"|12|12|"3.0%"
0|1|"그래핀"|"/sise/sise_group_detail.naver?type=theme&no=415"|13|14|"3.0%"
0|0|"무선충전기술"|"/sise/sise_group_detail.naver?type=theme&no=321"|12|12|"2.97%"
2|4|"교육/온라인교육"|"/sise/sise_group_detail.naver?type=theme&no=52"|21|27|"2.95%"
1|5|"마스크"|"/sise/sise_group_detail.naver?type=theme&no=285"|33|39|"2.94%"
1|1|"차량용블랙박스"|"/sise/sise_group_detail.naver?type=theme&no=282"|9|11|"2.94%"
0|1|"화학섬유"|"/sise/sise_group_detail.naver?type=theme&no=319"|7|8|"2.92%"
0|0|"LPG(액화석유가스)"|"/sise/sise_group_detail.naver?type=theme&no=177"|9|9|"2.86%"
1|0|"선박평형수처리장치"|"/sise/sise_group_detail.naver?type=theme&no=363"|6|7|"2.84%"
0|0|"은행"|"/sise/sise_group_detail.naver?type=theme&no=165"|10|10|"2.83%"
10|1|"2021상반기신규상장"|"/sise/sise_group_detail.naver?type=theme&no=473"|40|51|"2.82%"
1|2|"스마트카(SMARTCAR)"|"/sise/sise_group_detail.naver?type=theme&no=332"|11|14|"2.82%"
1|0|"MVNO(가상이동통신망사업자)"|"/sise/sise_group_detail.naver?type=theme&no=315"|8|9|"2.81%"
4|3|"태블릿PC"|"/sise/sise_group_detail.naver?type=theme&no=280"|18|25|"2.81%"
4|3|"태블릿PC"|"/sise/sise_group_detail.naver?type=theme&no=280"|18|25|"2.81%"
0|1|"MLCC(적층세라믹콘덴서)"|"/sise/sise_group_detail.naver?type=theme&no=405"|8|9|"2.81%"
1|2|"피팅(관이음쇠)/밸브"|"/sise/sise_group_detail.naver?type=theme&no=520"|6|9|"2.79%"
2|3|"비철금속"|"/sise/sise_group_detail.naver?type=theme&no=171"|20|25|"2.78%"
0|2|"전자파"|"/sise/sise_group_detail.naver?type=theme&no=18"|11|13|"2.77%"
3|1|"아이폰"|"/sise/sise_group_detail.naver?type=theme&no=388"|20|24|"2.77%"
1|1|"스마트홈(홈네트워크)"|"/sise/sise_group_detail.naver?type=theme&no=104"|23|25|"2.77%"
3|3|"2차전지(소재/부품)"|"/sise/sise_group_detail.naver?type=theme&no=446"|56|62|"2.77%"
1|0|"수산"|"/sise/sise_group_detail.naver?type=theme&no=90"|9|10|"2.76%"
2|1|"환율하락수혜"|"/sise/sise_group_detail.naver?type=theme&no=31"|23|26|"2.76%"
0|0|"제습기"|"/sise/sise_group_detail.naver?type=theme&no=328"|9|9|"2.74%"
0|5|"소매유통"|"/sise/sise_group_detail.naver?type=theme&no=136"|19|24|"2.74%"
3|5|"음식료업종"|"/sise/sise_group_detail.naver?type=theme&no=113"|55|63|"2.73%"
0|1|"생명보험"|"/sise/sise_group_detail.naver?type=theme&no=283"|6|7|"2.72%"
2|3|"PCB(FPCB등)"|"/sise/sise_group_detail.naver?type=theme&no=287"|27|32|"2.72%"
2|3|"패션/의류"|"/sise/sise_group_detail.naver?type=theme&no=32"|52|57|"2.7%"
3|0|"구제역/광우병수혜"|"/sise/sise_group_detail.naver?type=theme&no=16"|17|20|"2.7%"
0|0|"편의점"|"/sise/sise_group_detail.naver?type=theme&no=384"|5|5|"2.66%"
1|0|"카지노"|"/sise/sise_group_detail.naver?type=theme&no=47"|7|8|"2.62%"
1|0|"K-뉴딜지수(2차전지)"|"/sise/sise_group_detail.naver?type=theme&no=457"|13|14|"2.62%"
2|1|"2차전지(전고체)"|"/sise/sise_group_detail.naver?type=theme&no=472"|17|20|"2.62%"
1|0|"자원개발"|"/sise/sise_group_detail.naver?type=theme&no=79"|15|16|"2.57%"
1|0|"2차전지(LFP/리튬인산철)"|"/sise/sise_group_detail.naver?type=theme&no=503"|10|11|"2.55%"
1|1|"2020상반기신규상장"|"/sise/sise_group_detail.naver?type=theme&no=432"|17|19|"2.52%"
2|4|"조선기자재"|"/sise/sise_group_detail.naver?type=theme&no=94"|23|29|"2.48%"
0|1|"폐기물처리"|"/sise/sise_group_detail.naver?type=theme&no=197"|9|10|"2.42%"
0|0|"반도체대표주(생산)"|"/sise/sise_group_detail.naver?type=theme&no=155"|3|3|"2.41%"
0|0|"밥솥"|"/sise/sise_group_detail.naver?type=theme&no=341"|5|5|"2.41%"
1|0|"증권"|"/sise/sise_group_detail.naver?type=theme&no=151"|21|22|"2.4%"
2|1|"국내상장중국기업"|"/sise/sise_group_detail.naver?type=theme&no=228"|9|12|"2.36%"
3|1|"황사/미세먼지"|"/sise/sise_group_detail.naver?type=theme&no=19"|26|30|"2.34%"
1|0|"핵융합에너지"|"/sise/sise_group_detail.naver?type=theme&no=187"|7|8|"2.34%"
2|0|"폐배터리관련주"|"/sise/sise_group_detail.naver?type=theme&no=500"|16|18|"2.33%"
0|0|"통신"|"/sise/sise_group_detail.naver?type=theme&no=126"|3|3|"2.32%"
